plz1;plz2;Distanz_convert_in_km
29379;77704;496.691
54332;79288;202.923
56462;66646;146.209
02829;34266;372.836
68239;93339;235.389
78224;88138;69.9584
06536;18246;270.038
56581;97616;196.238
04567;71083;389.962
76764;97261;143.693
26386;66793;476.241
65620;75236;179.356
15230;59759;461.055
81539;99085;324.009
19077;66292;558.007
47139;73102;369.422
47533;58762;122.659
47139;84092;504.153
74382;79282;172.26
88149;93476;294.828
30926;84166;469.638
09123;76547;410.713
07387;49638;332.322
25849;38461;275.707
84529;84562;31.7043
17506;88284;724.67
55270;86987;302.571
70184;71577;40.6216
22145;23866;20.4891
17495;78126;742.155
13403;18317;200.395
26123;39359;216.769
66636;84097;377.189
89347;96132;151.882
54595;65555;119.063
23996;85413;583.762
01728;70173;408.018
03130;04603;153.811
12169;88521;558.059
23829;86856;641.195
59394;91247;368.001
35041;41468;141.311
06774;25462;287.451
24802;73084;617.67
98673;99996;98.882
13583;37339;229.532
54411;95447;331.269
22307;56587;381.479
23774;74382;604.98
53127;57586;59.2137
35463;86744;223.267
55283;86853;262.86
67585;97531;156.503
49439;86899;541.707
54498;90599;275.258
06258;34596;200.144
72369;89278;107.157
81477;99762;388.954
39104;59427;275.918
35415;61203;20.3819
22848;72275;601.108
35764;79279;288.654
25494;97773;393.686
18258;48529;375.203
17375;38118;290.203
40472;91489;335.327
53572;87466;402.692
55490;90562;265.013
46419;76774;329.638
51379;92555;411.707
23554;35614;395.55
12526;25566;312.784
46286;84175;530.402
29462;72587;505.041
09427;22941;389.613
49456;56077;266.462
16540;65529;434.352
06578;68307;270.933
27499;84489;711.194
33142;57642;114.026
74374;97535;138.179
56820;88524;276.636
09661;26632;474.107
44892;73092;354.584
27257;37444;165.316
63939;89275;163.586
74572;99326;181.251
86692;95643;175.825
82488;93104;175.548
65239;96193;170.852
31180;52070;305.629
51688;66506;205.332
19348;61191;385.35
69181;76751;41.8147
53539;65549;83.5731
71701;79780;132.206
14712;99428;197.629
84030;93152;49.8781
77723;85540;275.885
21762;29568;154.78
95499;99102;103.991
41472;73776;333.848
76549;87752;179.098
86681;88436;117.079
41065;97424;294.08
84332;95515;195.334
30455;63584;239.349
53121;67549;151.797
86871;96487;249.606
29490;44379;305.571
21406;86576;526.614
36367;86842;297.088
04838;71665;388.073
38464;97283;319.586
29481;67661;467.491
67757;86551;282.717
53505;65550;82.4293
04109;24613;351.174
72356;89443;147.607
59075;89176;395.671
84533;85088;109.013
91466;95356;92.5435
85655;86695;103.328
01097;85649;371.833
35689;82061;372.754
09390;34369;252.61
78739;84082;295.15
63768;84494;303.107
48565;87488;537.931
92237;95362;72.0129
91349;91792;75.4631
50935;67699;164.616
86940;91626;127.545
57632;67681;127.996
18519;48147;446.825
